Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,229.2604,-100.9142,225,top
C2,10uF,C_0805_2012Metric,230.1471,-85.1154,0,top
C3,10uF,C_0805_2012Metric,232.9688,-88.7499,90,top
C4,0.1uF,C_0805_2012Metric,232.2576,-93.1291,315,top
C5,0.1uF,C_0805_2012Metric,214.175313,-99.202213,315,top
C6,0.1uF,C_0805_2012Metric,219.21875,-85.725,45,top
C7,10uF,C_0805_2012Metric,217.942187,-102.245187,135,top
D1,D_Small,D_SOD-123,179.3875,-111.1875,90,top
D2,D_Small,D_SOD-123,198.4375,-111.1875,90,top
D3,D_Small,D_SOD-123,217.4875,-111.125,90,top
D4,D_Small,D_SOD-123,179.3875,-130.175,90,top
D5,D_Small,D_SOD-123,198.4375,-130.2375,90,top
D6,D_Small,D_SOD-123,217.4875,-130.2375,90,top
F1,500mA,Fuse_1206_3216Metric,210.6549,-94.9833,270,top
R1,10k,R_0805_2012Metric,213.387913,-91.150413,315,top
R2,22,R_0805_2012Metric,206.7433,-96.9668,90,top
R3,22,R_0805_2012Metric,204.7875,-96.98125,90,top
R4,10k,R_0805_2012Metric,232.7125,-98.425,225,top
R5,5.1k,R_0805_2012Metric,203.9747,-91.313,90,top
R6,5.1k,R_0805_2012Metric,207.9625,-91.28125,90,top
SW1,SW_Push,SKQG-1155865,199.23125,-98.425,180,top
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,223.04375,-95.25,135,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,206.2861,-79.3496,180,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,230.13125,-88.4125,270,top
